,name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
105,South Korea,KOR,KRW,3300.0,1220.0,13159.675,16470682.092,2003-04-01
106,Mexico,MEX,MXN,23.0,10.53,7607.443,73457.152,2003-04-01
107,Malaysia,MYS,MYR,5.04,3.8,4441.812,16878.93,2003-04-01
108,New Zealand,NZL,NZD,3.95,1.78,15706.932,33834.784,2003-04-01
109,Peru,PER,PEN,7.9,3.46,2017.765,7095.976,2003-04-01
110,Philippines,PHL,PHP,65.0,52.5,1050.297,54199.066,2003-04-01
111,Poland,POL,PLN,6.3,3.89,5205.517,21238.683,2003-04-01
112,Russia,RUS,RUB,41.0,31.1,2552.788,80050.702,2003-04-01
113,Singapore,SGP,SGD,3.3,1.78,22159.833,39679.139,2003-04-01
114,Sweden,SWE,SEK,30.0,8.34,29846.186,290615.995,2003-04-01
115,Thailand,THA,THB,59.0,42.7,2094.257,90052.438,2003-04-01
116,Turkey,TUR,TRY,3750000.0,1600500.0,3617.23,5453.307,2003-04-01
117,Taiwan,TWN,TWD,70.0,34.8,13651.355,472049.054,2003-04-01
118,United States,USA,USD,2.46,1.0,37945.761,37945.761,2003-04-01
119,Venezuela,VEN,VEF,3700.0,1598.0,3778.255,,2003-04-01
120,South Africa,ZAF,ZAR,13.95,7.56,2791.18,29353.446,2003-04-01
121,Argentina,ARG,ARS,4.36,2.95,3761.088,11098.367,2004-05-01
122,Australia,AUS,AUD,3.25,1.43,27288.987,41864.05,2004-05-01
123,Brazil,BRA,BRL,5.4,3.18,3089.141,9506.779,2004-05-01
124,Canada,CAN,CAD,3.19,1.37,28338.745,39702.994,2004-05-01
125,Switzerland,CHE,CHF,6.3,1.29,49512.355,66675.855,2004-05-01
126,Chile,CHL,CLP,1400.0,641.0,4824.87,3335903.18,2004-05-01
127,China,CHN,CNY,10.4,8.28,1282.21,10612.853,2004-05-01
128,Colombia,COL,COP,6500.0,2769.83,2313.535,6657297.983,2004-05-01
129,Costa Rica,CRI,CRC,1130.0,433.55,4227.819,1684992.065,2004-05-01
130,Czech Republic,CZE,CZK,56.42,26.5,9823.287,277008.656,2004-05-01
131,Denmark,DNK,DKK,27.75,6.22,40512.045,266880.121,2004-05-01
132,Egypt,EGY,EGP,10.0,6.19,1252.404,6455.752,2004-05-01
133,Euro area,EUZ,EUR,2.74,0.833333333,28431.6968215159,25141.2779136104,2004-05-01
134,Britain,GBR,GBP,1.88,0.558659218,34516.913,21122.374,2004-05-01
135,Hong Kong,HKG,HKD,12.0,7.79,23856.482,185782.354,2004-05-01
136,Hungary,HUN,HUF,530.0,211.0,8409.098,1886216.821,2004-05-01
137,Indonesia,IDN,IDR,16100.0,9120.0,1186.845,10176465.255,2004-05-01
138,Japan,JPN,JPY,262.0,113.0,35410.229,4105230.499,2004-05-01
139,South Korea,KOR,KRW,3200.0,1177.0,14672.418,17484325.778,2004-05-01
140,Sri Lanka,LKA,LKR,140.0,99.0,1162.71,112150.411,2004-05-01
141,Mexico,MEX,MXN,24.0,11.6,7088.462,76477.532,2004-05-01
142,Malaysia,MYS,MYR,5.04,3.8,4740.324,18013.231,2004-05-01
143,Norway,NOR,NOK,35.5,6.8491,50280.854,355999.34,2004-05-01
144,New Zealand,NZL,NZD,4.35,1.64,20461.053,35140.403,2004-05-01
145,Pakistan,PAK,PKR,110.0,57.76,666.113,38967.291,2004-05-01
146,Peru,PER,PEN,8.99,3.49,2159.744,7512.4,2004-05-01
147,Philippines,PHL,PHP,69.0,55.9,1062.619,57597.497,2004-05-01
148,Poland,POL,PLN,6.3,3.87,5699.557,22166.004,2004-05-01
149,Russia,RUS,RUB,42.0,29.0,3197.573,98051.256,2004-05-01
150,Saudi Arabia,SAU,SAR,2.4,3.7502,9800.509,36751.907,2004-05-01
151,Singapore,SGP,SGD,3.3,1.71,23730.379,41342.672,2004-05-01
152,Sweden,SWE,SEK,30.0,7.61,37249.257,301208.823,2004-05-01
153,Thailand,THA,THB,59.0,40.8,2356.968,97867.018,2004-05-01
154,Turkey,TUR,TRY,3950000.0,1531000.0,4684.698,7027.699,2004-05-01
155,Taiwan,TWN,TWD,75.0,33.4,14040.597,483266.82,2004-05-01
156,Ukraine,UKR,UAH,7.25,5.3315,1055.946,5631.032,2004-05-01
157,Uruguay,URY,UYU,29.8,29.735,3924.936,110570.678,2004-05-01
158,United States,USA,USD,2.47,1.0,39405.354,39405.354,2004-05-01
159,Venezuela,VEN,VEF,4400.0,2977.0,3266.095,,2004-05-01
160,South Africa,ZAF,ZAR,12.4,6.66,4209.22,31842.05,2004-05-01
161,UAE,ARE,AED,9.0,3.6725,39304.507,144345.801,2005-06-01
162,Argentina,ARG,ARS,4.75,2.897,4314.098,12690.697,2005-06-01
163,Australia,AUS,AUD,3.25,1.3015,32853.008,44602.158,2005-06-01
164,Brazil,BRA,BRL,5.9,2.4648,3660.02,10705.985,2005-06-01
165,Canada,CAN,CAD,3.28,1.2494,32176.593,41870.809,2005-06-01
166,Switzerland,CHE,CHF,6.3,1.2475,54784.748,68124.606,2005-06-01
167,Chile,CHL,CLP,1500.0,592.45,6183.906,3769271.108,2005-06-01
168,China,CHN,CNY,10.5,8.2764,1499.712,12413.115,2005-06-01
169,Colombia,COL,COP,6500.0,2327.7,2827.173,7430853.205,2005-06-01
170,Costa Rica,CRI,CRC,1130.0,475.3,4483.59,1963026.314,2005-06-01
171,Czech Republic,CZE,CZK,56.42,24.5409,11751.897,302020.814,2005-06-01
172,Denmark,DNK,DKK,27.75,6.0647,46571.283,279011.197,2005-06-01
173,Egypt,EGY,EGP,9.0,5.8,1195.597,7363.365,2005-06-01
174,Euro area,EUZ,EUR,2.92,0.814929509,32385.1530536158,26046.9470326207,2005-06-01
175,Britain,GBR,GBP,1.88,0.546448087,40434.576,22075.396,2005-06-01
176,Hong Kong,HKG,HKD,12.0,7.7807,24873.898,193734.498,2005-06-01
177,Hungary,HUN,HUF,530.0,203.643,10291.667,2086592.666,2005-06-01
178,Indonesia,IDN,IDR,14600.0,9545.0,1280.696,11439233.965,2005-06-01
179,Japan,JPN,JPY,250.0,106.715,38307.103,4144543.92,2005-06-01
180,South Korea,KOR,KRW,2500.0,1005.5,16482.75,18893338.346,2005-06-01
181,Sri Lanka,LKA,LKR,175.0,99.945,1259.771,127582.909,2005-06-01
182,Mexico,MEX,MXN,28.0,10.8675,7501.914,84666.352,2005-06-01
183,Malaysia,MYS,MYR,5.25,3.8,5244.861,19930.516,2005-06-01
184,Norway,NOR,NOK,39.0,6.4326,57827.636,389806.456,2005-06-01
185,New Zealand,NZL,NZD,4.45,1.4023,24849.116,37422.897,2005-06-01
186,Pakistan,PAK,PKR,130.0,59.62,767.824,44207.03,2005-06-01
187,Peru,PER,PEN,8.99,3.2546,2408.091,8218.915,2005-06-01
188,Philippines,PHL,PHP,80.0,54.55,1137.068,63721.173,2005-06-01
189,Poland,POL,PLN,6.5,3.3096,6684.675,24432.486,2005-06-01
190,Russia,RUS,RUB,42.0,28.4055,4403.962,126869.493,2005-06-01
191,Saudi Arabia,SAU,SAR,9.0,3.7501,11467.103,43001.635,2005-06-01
192,Singapore,SGP,SGD,3.6,1.6607,27608.075,46663.95,2005-06-01
193,Sweden,SWE,SEK,31.0,7.4402,42736.876,314068.459,2005-06-01
194,Thailand,THA,THB,60.0,40.53,2657.909,106996.686,2005-06-01
195,Turkey,TUR,TRY,4.0,1.369,6015.665,8570.077,2005-06-01
196,Taiwan,TWN,TWD,75.0,31.175,15290.307,511092.54,2005-06-01
197,Ukraine,UKR,UAH,7.25,5.06,1374.656,7311.725,2005-06-01
198,Uruguay,URY,UYU,44.0,24.125,4457.927,127720.734,2005-06-01
199,United States,USA,USD,2.58,1.0,41641.617,41641.617,2005-06-01
200,Venezuela,VEN,VEF,5600.0,2629.62,4311.999,,2005-06-01
201,South Africa,ZAF,ZAR,13.95,6.6482,5415.089,34927.774,2005-06-01
202,Argentina,ARG,ARS,4.75,3.0638,5163.55,15094.732,2006-01-01
203,Australia,AUS,AUD,3.25,1.3308,36232.61,47434.653,2006-01-01
204,Brazil,BRA,BRL,6.2,2.2615,4819.872,11733.457,2006-01-01
205,Canada,CAN,CAD,3.52,1.1704,36439.62,44143.143,2006-01-01
206,Switzerland,CHE,CHF,6.3,1.2776,56378.441,70201.119,2006-01-01
207,Chile,CHL,CLP,1560.0,522.75,7558.009,4230727.997,2006-01-01
208,China,CHN,CNY,10.5,8.0641,1751.368,14351.735,2006-01-01
209,Czech Republic,CZE,CZK,62.0,23.8375,13446.938,322153.908,2006-01-01
210,Denmark,DNK,DKK,27.75,6.1769,48872.095,293081.556,2006-01-01
